ID,Brand,Tipe,CPU,RAM,Memori,GPU,SistemOperasi,Berat,Layar,Harga
28,Eclipse,Notebook,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel HD Graphics 520,Penguin OS,2.18kg,15.6inch 1366x768,7604894.8
29,Vivid,Notebook,,6GB,1.0TB Hybrid,AMD Radeon R7 M440,Gemini 5,2.04kg,15.6inch Full HD 1920x1080,9422428.68
30,Stellar,,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Gemini 5,2.73kg,17.3inch Full HD 1920x1080,35118886.800000004
31,Eclipse,,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Intel HD Graphics 620,Gemini 5,2.3kg,15.6inch Touchscreen 1366x768,8035079.32
32,Galaxy,Gaming,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Gemini 5,2.2kg,15.6inch Full HD 1920x1080,20541268.0
33,Pulse,Notebook,Intel Pentium Quad Core N4200 1.1GHz,4GB,500GB HDD,Intel HD Graphics 505,Gemini 5,2.2kg,15.6inch Full HD 1920x1080,5893408.0
34,Traverse,Notebook,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 2,1.2kg,13.3inch Full HD 1920x1080,25012720.0
35,Pulse,Notebook,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon R5 M430,Gemini 5,1.90kg,15.6inch Full HD 1920x1080,14013119.4
36,Pulse,Ultrabook,Intel Core i7 7700HQ 2.8GHz,8GB,512GB SSD,,Gemini 5,1.7kg,14.0inch IPS Panel Full HD 2560x1440,33287476.0
37,Eclipse,Gaming,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Gemini 5,2.62kg,15.6inch Full HD 1920x1080,16875020.0
38,Eclipse,Workstation,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia Quadro M620,Gemini 5,2.23kg,15.6inch Full HD 1920x1080,30460696.0
39,Eclipse,Notebook,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,Intel HD Graphics 620,Gemini 5,2.18kg,15.6inch 1366x768,12232076.68
40,Zenith,Ultrabook,Intel Core i5 7Y54 1.2GHz,8GB,256GB SSD,Intel HD Graphics 615,Gemini 5,1.12kg,13.3inch IPS Panel Full HD 1920x1080,16943548.0
41,Vivid,Notebook,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,AMD Radeon 530,Gemini 5,2.1kg,15.6inch Full HD 1920x1080,12763340.0
42,Eclipse,Notebook,Intel Core i3 7100U 2.4GHz,6GB,1TB HDD,,Gemini 5,2.3kg,15.6inch 1366x768,7863588.0
43,Vivid,Notebook,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,Intel HD Graphics 520,,1.84kg,15.6inch Full HD 1920x1080,32550800.0
44,Eclipse,Notebook,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,Gemini 5,2.29kg,15.6inch 1366x768,8394680.0
45,Quantum,Ultrabook,Intel Core i5 2.3GHz,8GB,128GB SSD,Intel Iris Plus Graphics 640,Orange OS,1.37kg,13.3inch IPS Panel Retina Display 2560x1600,22951569.08
46,Vivid,2 in 1 Convertible,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Nvidia GeForce 940MX,Gemini 5,1.63kg,14.0inch IPS Panel Full HD / Touchscreen 1920x1080,11975268.0
47,Pulse,Notebook,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,Intel HD Graphics 620,Gemini 5,1.9kg,15.6inch 1366x768,8531736.0
48,Cosmo,2 in 1 Convertible,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,AMD Radeon 540,Gemini 5,1.71kg,15.0inch Full HD / Touchscreen 1920x1080,30820468.0
49,Eclipse,Gaming,Intel Core i7 7700HQ 2.8GHz,32GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Gemini 5,4.42kg,17.3inch IPS Panel Full HD 1920x1080,52644751.48
50,Traverse,Ultrabook,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Gemini 5,1.1kg,12.5inch Full HD / Touchscreen 1920x1080,30666280.0
51,Pulse,Notebook,Intel Core i5 6200U 2.3GHz,8GB,180GB SSD,Intel HD Graphics 520,Gemini 2,1.7kg,14.0inch Full HD 1920x1080,20541268.0
52,Stellar,Gaming,Intel Core i7 6820HK 2.7GHz,32GB,256GB SSD +  256GB SSD,Nvidia GeForce GTX 980M,Gemini 5,3.58kg,17.3inch IPS Panel Full HD 1920x1080,21911828.0
53,Galaxy,Gaming,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Gemini 5,2.4kg,15.6inch Full HD 1920x1080,19578449.6
54,Orbit,Ultrabook,Intel Core i7 7660U 2.5GHz,16GB,512GB SSD,Intel Iris Plus Graphics 640,Gemini 5 S,1.25kg,13.5inch Touchscreen 2256x1504,44354748.0
55,Pulse,2 in 1 Convertible,Intel Atom x5-Z8550 1.44GHz,4GB,64GB Flash Storage,Intel HD Graphics 400,Automaton OS,0.69kg,10.1inch IPS Panel Touchscreen 1920x1200,5465108.0
56,Eclipse,Netbook,Intel Pentium Quad Core N4200 1.1GHz,4GB,128GB SSD,Intel HD Graphics 505,Gemini 5,1.63kg,11.6inch 1366x768,12746208.0
57,Stellar,Notebook,Intel Core i7 6500U 2.5GHz,4GB,500GB HDD,Nvidia GeForce 920M,Gemini 5,2.2kg,15.6inch 1366x768,12340522.24
58,Vivid,,Intel Core i7 6700HQ 2.6GHz,8GB,256GB SSD,Nvidia Quadro M1000M,Gemini 2,2.59kg,15.6inch Full HD 1920x1080,26743052.0
59,Eclipse,Notebook,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Gemini 5,2kg,15.6inch Full HD 1920x1080,31180240.0
60,Zenith,Netbook,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB Flash Storage,Intel HD Graphics 400,RamEater OS,1.25kg,11.6inch IPS Panel 1366x768,5088204.0
61,Zenith,2 in 1 Convertible,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB Flash Storage,Intel HD Graphics 400,RamEater OS,1.25kg,11.6inch IPS Panel Touchscreen 1366x768,6664348.0
62,Pulse,Notebook,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 2,1.65kg,14.0inch Full HD 1920x1080,25098380.0
63,Galaxy,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Gemini 5,2.9kg,17.3inch Full HD 1920x1080,34760828.0
64,Pulse,Notebook,Intel Core i7 6500U 2.5GHz,16GB,1.0TB Hybrid,AMD Radeon R7 M360,,2.5kg,15.6inch Full HD 1920x1080,18828068.0
65,Vivid,Gaming,Intel Core i7 7700HQ 2.8GHz,12GB,1TB HDD,Nvidia GeForce GTX 1060,Gemini 5,2.62kg,17.3inch Full HD 1920x1080,30820468.0
66,Galaxy,Gaming,Intel Core i7 6700HQ 2.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Gemini 5,2.3kg,15.6inch Full HD 1920x1080,20027308.0
67,Future,Notebook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,2.2kg,15.6inch 1366x768,13688468.0
68,Pulse,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Gemini 5,2.5kg,15.6inch IPS Panel Full HD 1920x1080,20198628.0
69,Zenith,Notebook,Intel Celeron Dual Core 3205U 1.5GHz,4GB,16GB SSD,Intel HD Graphics,RamEater OS,2.20kg,15.6inch 1366x768,3580588.0
70,Eclipse,Notebook,Intel Core i5 7200U 2.5GHz,12GB,1TB HDD,Intel HD Graphics 620,Gemini 5,2.25kg,15.6inch 1366x768,11118668.0
71,Eclipse,Notebook,Intel Core i7 7600U 2.8GHz,16GB,256GB SSD,Nvidia GeForce 930MX,Gemini 5,1.93kg,15.6inch Full HD 1920x1080,26338565.48
72,Stellar,,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Gemini 5,1.99kg,15.6inch Full HD 1920x1080,15532213.84
73,Stellar,Notebook,Intel Pentium Quad Core N3710 1.6GHz,4GB,1TB HDD,Nvidia GeForce 920MX,Gemini 5,2.8kg,17.3inch 1600x900,9079960.0
74,Pulse,2 in 1 Convertible,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel UHD Graphics 620,Gemini 5,1.37kg,13.9inch IPS Panel Full HD / Touchscreen 1920x1080,31677068.0
75,Eclipse,Notebook,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Gemini 5,2.06kg,15.6inch 4K Ultra HD / Touchscreen 3840x2160,29963868.0
76,Pulse,Notebook,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Intel HD Graphics 505,No OS,2.2kg,15.6inch 1366x768,6167348.68
77,Stellar,Notebook,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Nvidia GeForce 920,Penguin OS,2.1kg,15.6inch Full HD 1920x1080,8891508.0
78,Stellar,Gaming,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Gemini 5,3kg,17.3inch Full HD 1920x1080,16069816.0
79,Vivid,Ultrabook,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Gemini 5,1.3kg,13.3inch IPS Panel 4K Ultra HD 3840x2160,35103468.0
80,Galaxy,Gaming,Intel Core i7 6700HQ 2.6GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Gemini 5,2.43kg,17.3inch IPS Panel Full HD 1920x1080,33390096.68
81,Eclipse,,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Gemini 5,1.41kg,13.3inch Full HD 1920x1080,16258268.0
82,Pulse,Ultrabook,Intel Core M 6Y75 1.2GHz,8GB,512GB SSD,Intel HD Graphics 515,Gemini 5,0.99kg,12.5inch IPS Panel Touchscreen 2560x1440,23967668.0
83,Pulse,Notebook,AMD A12-Series 9720P 3.6GHz,12GB,512GB SSD,AMD Radeon 530,Gemini 5,2.2kg,15.6inch Full HD 1920x1080,16258268.0
84,Nebula,Notebook,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce MX150,No OS,1.95kg,15.6inch IPS Panel Full HD 1920x1080,20541268.0
85,Galaxy,Gaming,Intel Core i7 6820HQ 2.7GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 980M,Gemini 5,3.78kg,17.3inch Full HD 1920x1080,41099668.0
86,Quasar,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD,Nvidia GeForce GTX 1060,Gemini 5,1.95kg,14.0inch Full HD 1920x1080,44526068.0
87,Pulse,2 in 1 Convertible,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.38kg,13.9inch IPS Panel Full HD / Touchscreen 1920x1080,23111068.0
88,Stellar,2 in 1 Convertible,Intel Celeron Dual Core N3350 1.1GHz,2GB,32GB Flash Storage,Intel HD Graphics 500,Gemini 5,1.1kg,11.6inch Touchscreen 1366x768,4711300.0
89,Eclipse,2 in 1 Convertible,Intel Core i5 7Y54 1.2GHz,8GB,256GB SSD,Intel HD Graphics 615,Gemini 5,1.24kg,13.3inch Quad HD+ / Touchscreen 3200x1800,31060316.0
90,Pulse,2 in 1 Convertible,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.37kg,13.3inch IPS Panel Full HD / Touchscreen 1920x1080,30108119.44
91,Pulse,2 in 1 Convertible,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Gemini 5,1.4kg,13.9inch IPS Panel Full HD / Touchscreen 1920x1080,27394068.0
92,Zenith,Notebook,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Intel HD Graphics 620,Gemini 5,1.8kg,14.0inch IPS Panel Full HD 1920x1080,10895952.0
93,Pulse,Notebook,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Gemini 5,2.2kg,15.6inch Full HD 1920x1080,8548868.0
94,Pulse,Ultrabook,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,,Gemini 5,1.36kg,12.5inch IPS Panel Full HD 1920x1080,30152320.0
95,Zenith,Notebook,AMD A9-Series 9420 3GHz,4GB,1TB HDD,AMD Radeon R5,Gemini 5,2.1kg,15.6inch 1366x768,6767140.0
96,Pulse,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Gemini 5,3.2kg,15.6inch IPS Panel Full HD 1920x1080,25680868.0
97,Eclipse,Notebook,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Gemini 5,2.2kg,15.6inch Full HD 1920x1080,19444820.0
98,Vivid,Notebook,Intel Core i3 6006U 2GHz,4GB,1TB HDD,AMD Radeon 520,Gemini 5,2.1kg,15.6inch Full HD 1920x1080,8034908.0
99,Eclipse,Notebook,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,AMD Radeon R5 M420,Gemini 5,2.18kg,15.6inch 1366x768,11735248.68
100,Pulse,Notebook,Intel Core i5 6200U 2.3GHz,8GB,1.0TB Hybrid,AMD Radeon R5 M330,Gemini 5,2.5kg,15.6inch Full HD 1920x1080,13508410.68
101,Vivid,,,8GB,256GB SSD,AMD FirePro W4190M,Gemini 2,1.9kg,15.6inch Full HD 1920x1080,25612340.0
102,Zenith,Notebook,Intel Core i5 8250U 1.6GHz,4GB,1TB HDD,Nvidia GeForce MX150,Gemini 5,2.2kg,15.6inch IPS Panel Full HD 1920x1080,10501916.0
103,Eclipse,,Intel Core i3 6100U 2.3GHz,4GB,128GB SSD,Intel HD Graphics 520,Gemini 2,1.5kg,12.5inch 1366x768,19992530.04
104,Stellar,2 in 1 Convertible,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 520,Gemini 5,2.2kg,15.6inch Touchscreen 1366x768,12660548.0
105,Vivid,,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,,Gemini 5,2.31kg,14.0inch 1366x768,19256368.0
106,Vivid,Notebook,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel UHD Graphics 620,Gemini 5,1.49kg,13.3inch IPS Panel Full HD 1920x1080,11564100.0
107,Vivid,,AMD A9-Series 9420 3GHz,8GB,1TB HDD,AMD Radeon R5,Gemini 5,2.6kg,17.0inch 1600x900,8924058.799999999
108,Eclipse,Ultrabook,,16GB,512GB SSD,Intel HD Graphics 620,Gemini 5,1.2kg,13.3inch Quad HD+ / Touchscreen 3200x1800,45913760.0
109,Stellar,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Gemini 5,2.9kg,17.3inch Full HD 1920x1080,41442308.0
110,Traverse,Ultrabook,Intel Core i7 6600U 2.6GHz,16GB,512GB SSD,,Gemini 5,1.47kg,14.0inch IPS Panel Full HD 1920x1080,30220848.0
111,Pulse,Notebook,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Gemini 5,1.99kg,15.6inch IPS Panel Full HD 1920x1080,29621228.0
112,Vivid,Notebook,AMD E-Series 9000e 1.5GHz,4GB,500GB HDD,AMD Radeon R2,Gemini 5,2.1kg,15.6inch 1366x768,5653560.0
113,Galaxy,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Gemini 5,3.78kg,17.3inch Full HD 1920x1080,42812868.0
114,Vivid,Ultrabook,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Gemini 5,1.84kg,15.6inch Full HD 1920x1080,23796348.0
115,Vivid,Notebook,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB SSD,Intel HD Graphics 400,No OS,1.86kg,15.6inch 1366x768,5122468.0
116,Vivid,Notebook,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Intel HD Graphics 620,Gemini 5,2.1kg,15.6inch Full HD 1920x1080,12086626.0
117,Quantum,Ultrabook,Intel Core i5 2.3GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,Orange OS,1.37kg,13.3inch IPS Panel Retina Display 2560x1600,26015798.6
118,Eclipse,Notebook,Intel Pentium Quad Core N3710 1.6GHz,4GB,500GB HDD,Intel HD Graphics,Penguin OS,2.2kg,15.6inch 1366x768,5550768.0
119,Pulse,Notebook,Intel Core i5 6200U 2.3GHz,,508GB Hybrid,,Gemini 2,1.70kg,14.0inch 1366x768,17166264.0
120,Pulse,Notebook,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,Intel HD Graphics 520,No OS,1.9kg,15.6inch 1366x768,5807748.0
121,Vivid,Notebook,Intel Core i3 6006U 2GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 5,2.5kg,17.3inch 1600x900,10962766.8
122,Pulse,Gaming,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Gemini 5,2.5kg,15.6inch IPS Panel Full HD 1920x1080,21397868.0
123,Vivid,Ultrabook,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 2,1.26kg,12.5inch Full HD 1920x1080,20541268.0
124,Galaxy,,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Gemini 5,2.7kg,17.3inch Full HD 1920x1080,23102159.36
125,Vivid,Netbook,Intel Celeron Dual Core N3060 1.6GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,Gemini 5,1.17kg,11.6inch 1366x768,3580588.0
126,Pulse,Notebook,Intel Core i5 6300HQ 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 5,1.8kg,14.0inch Full HD 1920x1080,20404212.0
127,Stellar,2 in 1 Convertible,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD +  512GB SSD,Intel UHD Graphics 620,Gemini 5,1.1kg,13.3inch Full HD / Touchscreen 1920x1080,25680868.0
128,Vivid,Ultrabook,AMD A9-Series 9420 3GHz,4GB,256GB SSD,AMD Radeon 520,Gemini 5,1.91kg,15.6inch Full HD 1920x1080,8548868.0
129,Pulse,Notebook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.1kg,13.3inch IPS Panel Full HD 1920x1080,17114868.0
130,Stellar,Gaming,Intel Core i7 7820HK 2.9GHz,32GB,512GB SSD +  1TB HDD,,Gemini 5,4.7kg,17.3inch Full HD 1920x1080,66643480.0
131,Traverse,Notebook,Intel Core i7 6500U 2.5GHz,8GB,500GB HDD,Nvidia GeForce 930M,Gemini 5,2.2kg,15.6inch 1366x768,13911184.0
132,Pulse,Notebook,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Gemini 5,2.3kg,15.6inch Full HD 1920x1080,14031108.0
133,Stellar,Gaming,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Gemini 5,2.9kg,17.3inch Full HD 1920x1080,26194828.0
134,Pulse,Ultrabook,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,Gemini 5,1.14kg,14.0inch IPS Panel Full HD 1920x1080,41973400.0
135,Vivid,Workstation,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia Quadro M2200,Gemini 5,3.14kg,15.6inch Full HD 1920x1080,35375866.800000004
136,Zenith,2 in 1 Convertible,,8GB,256GB SSD,,Gemini 5,1.2kg,14.0inch IPS Panel Full HD / Touchscreen 1920x1080,19684668.0
137,Zenith,Notebook,Intel Core i7 7500U 2.7GHz,12GB,1TB HDD,Intel HD Graphics 620,Gemini 5,2.15kg,15.6inch IPS Panel Full HD / Touchscreen 1920x1080,11289988.0
138,Pulse,Notebook,,8GB,1TB HDD,Nvidia GeForce 940MX,No OS,2.2kg,15.6inch Full HD 1920x1080,8548868.0
139,Stellar,Netbook,Intel Celeron Dual Core N3060 1.6GHz,4GB,16GB Flash Storage,Intel HD Graphics 400,RamEater OS,1.2kg,11.6inch 1366x768,4932302.8
140,Eclipse,,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Gemini 5,1.7kg,14.0inch Full HD 1920x1080,15059028.0
141,Eclipse,,Intel Core i5 8250U 1.6GHz,,128GB SSD,Intel UHD Graphics 620,Gemini 5,1.22kg,13.3inch IPS Panel Full HD / Touchscreen 1920x1080,16772228.0
142,Eclipse,Ultrabook,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Gemini 5,1.2kg,13.3inch Quad HD+ / Touchscreen 3200x1800,23967668.0
143,Pulse,Notebook,Intel Celeron Dual Core N3350 1.1GHz,4GB,128GB SSD,Intel HD Graphics 500,,1.9kg,15.6inch 1366x768,4636261.84
144,Vivid,Notebook,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Gemini 5,1.11kg,13.3inch IPS Panel Full HD 1920x1080,19684668.0
145,Vivid,Notebook,AMD A10-Series 9600P 2.4GHz,6GB,2TB HDD,,Gemini 5,2.65kg,17.3inch IPS Panel Full HD 1920x1080,9748108.0
146,Stellar,2 in 1 Convertible,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,Gemini 5,1.5kg,11.6inch Touchscreen 1366x768,6424500.0
147,Vivid,Notebook,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,Gemini 2,1.43kg,14.0inch Full HD 1920x1080,25920716.0
148,Zenith,Notebook,,8GB,256GB SSD,AMD Radeon R5,Gemini 5,2.23kg,15.6inch Full HD 1920x1080,8034908.0
