id,Artist Name,Track Name,Popularity,duration,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,key,mode,time_signature,Class
11,StPa&ThBrBon,track_1,61.0000000000,171.2670000000,0.5523993975,0.7857407463,0.8883731377,0.0128783001,0.0636546185,0.2128506153,0.1029157777,0.6147872010,0.4298313710,7.0000000000,major,type 4,10
12,ReWi,track_1,25.0000000000,127.8570000000,0.2629653540,0.9789745592,0.9029971800,0.1038849539,0.0000099598,0.9568272659,0.3579193335,0.0202961582,0.5899210765,2.0000000000,major,type 4,9
13,StWo,track_1,77.0000000000,146.3900000000,0.7310092533,0.5214209193,0.6899752939,0.1371538957,0.8242971888,0.0012439772,0.2207660266,0.6220358289,0.5806378574,7.0000000000,minor,type 4,10
14,AsBheha,track_9,3.0000000000,203.4670000200,0.5932859910,0.4743639804,0.7426068728,0.0280103026,0.6465863454,0.0000092370,0.5834603271,0.9181940561,0.3090956139,7.0000000000,major,type 4,10
15,Elu,track_1,56.0000000000,253.8960000000,0.2640413170,0.8838594700,0.8755209503,0.0302640052,0.0386546185,0.0000789157,0.9735852890,0.1840115978,0.4194052702,11.0000000000,major,type 4,10
16,ThUpPl,track_1,44.0000000000,274.4029999800,0.5233483968,0.0939036234,0.4598837064,0.0133075767,0.8343373494,0.7138551344,0.1049476786,0.1829760795,0.4610018545,2.0000000000,minor,type 4,8
17,ErRee,track_1,44.0000000000,570.7870000200,0.3382827631,0.1169314871,0.5857602755,0.0142734492,0.9738955823,0.8323291489,0.0683734634,0.0798384591,0.6186386768,2.0000000000,major,type 5,8
18,bbRiBr,track_1,74.0000000000,133.7070000000,0.8127824403,0.8478158572,0.8796386414,0.0985189955,0.0230923695,0.0001616467,0.0109722646,0.6893445169,0.4068820891,4.0000000000,minor,type 4,10
19,EAR,track_1,44.0000000000,179.6400000000,0.6589197332,0.9489382152,0.8940630381,0.0432496244,0.0007781124,0.0479910120,0.0866605710,0.5371233302,0.6656477768,2.0000000000,major,type 4,9
20,Tua,track_15,38.0000000000,217.9210000000,0.7084140306,0.5774887614,0.8098125827,0.0213565143,0.1907630522,0.0005863460,0.4209082597,0.2658175417,0.5415049381,2.0000000000,major,type 4,10
21,Apo,track_1,37.0000000000,328.1490000000,0.3619539488,0.9088897566,0.8342691722,0.0360592402,0.0006174699,0.8765059001,0.0759930915,0.1995443720,0.3747627981,7.0000000000,minor,type 4,9
22,KiKuAsBhs,track_1,41.0000000000,221.4799999800,0.2898644287,0.7777310546,0.9711761623,0.0253273235,0.7008032129,0.0000128514,0.1222188357,0.6717407062,0.3949249580,9.0000000000,major,type 4,10
23,KiKurshore,track_8,13.0000000000,294.2220000000,0.3124596514,0.3782476797,0.7272341594,0.0194247693,0.9769076305,0.0001576307,0.1445697450,0.5019157088,0.3188855824,8.0000000000,major,type 4,4
24,SaNiDy,track_1,52.0000000000,167.6130000000,0.8343017000,0.5224221308,0.8166754012,0.0243614510,0.0053815261,0.1375493349,0.1435537946,0.5899347623,0.3745040324,3.0000000000,minor,type 4,10
25,AsBheha,track_7,17.0000000000,264.4669999800,0.6148052507,0.5704802811,0.6941928078,0.0434642627,0.8674698795,0.0105411752,0.3365843747,0.8322460391,0.4670181567,2.0000000000,major,type 4,4
26,Imo,track_1,34.0000000000,251.7970000000,0.1725844631,0.9849818280,0.8888472960,0.0623524361,0.0158634538,0.6395578710,0.2847709032,0.0135652894,0.3815230517,5.0000000000,major,type 3,9
27,AlYa,track_1,42.0000000000,363.3330000000,0.5437916936,0.7537019794,0.7066457039,0.0120197467,0.6807228916,0.0443765506,0.0608554303,0.9357978668,0.5631010911,8.0000000000,minor,type 3,4
28,Gig,track_1,48.0000000000,153.0000000000,0.7353131052,0.7096486749,0.8712036136,0.0139514917,0.0139558233,0.0000064759,0.2776592502,0.2285388837,0.3636250916,9.0000000000,minor,type 4,10
29,WeBuThBrWiBu,track_1,45.0000000000,223.4340000000,0.5298041747,0.9779733478,0.9003768311,0.1607641125,0.0002289157,0.0022279139,0.1994310678,0.2016154085,0.5632358649,1.0000000000,major,type 4,9
30,AsKiSa,track_1,58.0000000000,206.1750000000,0.5029051001,0.6215420659,0.7930922612,0.0654646920,0.7028112450,0.0000018273,0.1120593315,0.6769182976,0.7717255359,7.0000000000,minor,type 4,10
31,LaMarta,track_14,1.0000000000,173.4670000200,0.5093608780,0.3702379880,0.7369169724,0.0281176218,0.9648594378,0.0150592521,0.3609671848,0.8208553381,0.5721686721,6.0000000000,major,type 3,4
32,AmBaKiKu,track_1,19.0000000000,396.6930000000,0.5416397676,0.4843760951,0.6757255871,0.4204764971,0.9417670683,0.0000200803,0.5966676826,0.7048772911,0.5142698495,7.0000000000,major,type 4,4
33,GiPuMeOpOrJaLe,track_1,30.0000000000,315.3600000000,0.0051646223,0.0758818170,0.5011354845,0.0243614510,0.9608433735,0.6024092394,0.1130752819,0.0180180180,0.1757827662,4.0000000000,major,type 4,8
34,BeFrCl,track_1,20.0000000000,250.0000000000,0.8117064773,0.5684778582,0.6620748172,0.0605280103,0.5562248996,0.8242970123,0.1181550340,0.5133064099,0.4822098590,9.0000000000,minor,type 4,6
35,LoGrBrQu,track_1,34.0000000000,279.7069999800,0.3275231332,0.5003954785,0.8438521624,0.0125563426,0.7469879518,0.1134529252,0.2939144570,0.1643367505,0.7817257515,10.0000000000,minor,type 5,10
36,NaHu,track_1,41.0000000000,176.5520000000,0.5427157306,0.8287928393,0.8421302189,0.2713028547,0.3112449799,0.0000117470,0.0798537031,0.5464429947,0.3028421098,8.0000000000,major,type 4,6
37,MoRaAsBhl,track_1,2.0000000000,381.5200000200,0.4587906176,0.6355590264,0.7627211699,0.0809186521,0.7028112450,0.0009136555,0.4859290867,0.9244071658,0.5125016173,7.0000000000,major,type 4,4
38,Gee,track_1,46.0000000000,188.9880000000,0.5115128040,0.1719981177,0.6588804871,0.0212491951,0.9849397590,0.6726904344,0.0958041248,0.3579786683,0.2557197999,3.0000000000,major,type 1,8
39,MaDeMoRaS.D.BaSuMa,track_1,8.0000000000,426.3199999800,0.6363245104,0.5885020875,0.6798682339,0.0539815411,0.9628514056,0.8614456440,0.1008838769,0.9275137206,0.3938898952,1.0000000000,major,type 4,8
40,PiLu,track_1,49.0000000000,176.5470000000,0.5975898429,0.0936032599,0.6003344064,0.0443228161,0.9939759036,0.9417670098,0.0968200752,0.2637465051,0.3527407599,7.0000000000,major,type 4,8
41,ClDeJuLlWeRoPhOrJaJu,track_1,52.0000000000,240.0000000000,0.0811276092,0.0416403849,0.3460607422,0.0269371110,0.9919678715,0.9277107708,0.1201869349,0.0218494356,0.1793785311,5.0000000000,major,type 4,8
42,ThBak,track_1,70.0000000000,158.8530000000,0.6922745858,0.0816888435,0.6432083053,0.1242755956,0.8283132530,0.0000114458,0.1161231332,0.5712954334,0.5138763100,7.0000000000,major,type 4,10
43,Gia,track_1,50.0000000000,201.5250000000,0.6244889176,0.6135323742,0.8116593047,0.0041854475,0.0161646586,0.0000057229,0.0806664635,0.8363881123,0.3420235477,8.0000000000,minor,type 4,10
44,ClVaHo,track_1,45.0000000000,218.3040000000,0.5061329890,0.1119254298,0.5223228769,0.0445374544,0.9979919679,0.9457830781,0.0937722239,0.1757274516,0.2924052271,4.0000000000,major,type 4,8
45,MaWaSlKuMiMi,track_1,54.0000000000,329.5999999800,0.3361308371,0.0879964757,0.4534950463,0.0134148959,0.9196787149,0.9146585489,0.1445697450,0.0636843740,0.5791930823,7.0000000000,major,type 4,8
46,KeCoBa,track_1,51.0000000000,315.4740000000,0.4555627286,0.2911422822,0.5814429388,0.0078342992,0.8684738956,0.7811242782,0.1008838769,0.1622657140,0.5864870402,8.0000000000,major,type 5,8
47,NiBr,track_1,43.0000000000,59.2270000200,0.2220787605,0.0116040409,0.3953732125,0.0309079202,0.9126506024,0.9257027366,0.1171390836,0.0470125298,0.1894218743,7.0000000000,major,type 3,8
48,HaNahdag,track_25,38.0000000000,240.6930000000,0.6825909189,0.8968752190,0.8960594944,0.0385275810,0.0145582329,0.0001004017,0.2441328863,0.9430464948,0.6550976840,7.0000000000,major,type 4,10
49,JA,track_1,32.0000000000,225.0720000000,0.6029696578,0.8348001081,0.8295525442,0.0093367675,0.2740963855,0.0034026139,0.0988519760,0.7048772911,0.3690915168,9.0000000000,minor,type 4,10
50,BeBar,track_1,45.0000000000,194.1400000000,0.7256294383,0.4212997727,0.7196226698,0.0286542176,0.6104417671,0.0000017570,0.1049476786,0.4428911670,0.4661286497,4.0000000000,major,type 4,10
51,LaStTro,track_1,56.0000000000,253.2130000200,0.5674628793,0.0563581934,0.4354021612,0.0186735351,0.9467871486,0.8684737635,0.0783297775,0.1322356840,0.1856589900,2.0000000000,minor,type 4,8
52,Wur,track_1,41.0000000000,196.0930000000,0.6847428448,0.5344366684,0.7960619900,0.1317879373,0.4226907631,0.0000174699,0.0927562735,0.6665631148,0.3309289688,4.0000000000,minor,type 4,10
53,GuMar,track_1,16.0000000000,152.0930000000,0.7180976974,0.6836171768,0.7700581468,0.1714960292,0.2429718876,0.0075291240,0.0580107691,0.6551724138,0.7626633458,1.0000000000,major,type 4,6
54,R.D.Bu,track_1,3.0000000000,162.9330000000,0.2651172800,0.7186595781,0.7962865913,0.1940330543,0.8574297189,0.7730921417,0.0757899015,0.3869731801,0.7566308707,8.0000000000,major,type 4,4
55,AlYaKuSa,track_1,42.0000000000,300.4000000200,0.5050570260,0.8117722444,0.7664894812,0.0508692853,0.7710843373,0.0000009337,0.3000101595,0.7763280522,0.5837538276,1.0000000000,minor,type 3,10
56,ThAb,track_1,23.0000000000,258.0000000000,0.4630944696,0.9649575987,0.8463227771,0.0845675038,0.0000047691,0.2048184787,0.8709742965,0.0319975148,0.4823068961,4.0000000000,minor,type 4,9
57,BuLeF,track_1,51.0000000000,299.0670000000,0.8407574779,0.5344366684,0.6927204213,0.3668169135,0.0814257028,0.0035130557,0.0978360256,0.6914155535,0.3389668780,10.0000000000,minor,type 4,6
58,Evi,track_1,13.0000000000,184.5330000000,0.3576500968,0.9689624446,0.9137031769,0.0364885168,0.0000066667,0.0343363799,0.2786752007,0.2885989438,0.3739379825,1.0000000000,major,type 4,9
59,JaAsBhUdNa,track_1,46.0000000000,373.8000000000,0.5115128040,0.7266692698,0.8839310224,0.0225370251,0.7710843373,0.0000377510,0.0564868434,0.6241068655,0.3648218830,5.0000000000,minor,type 4,4
60,May,track_2,32.0000000000,210.3330000000,0.5341080267,0.8648364521,0.8549324948,0.0122343851,0.0003383534,0.0000065763,0.4320837143,0.4087190639,0.5037305387,6.0000000000,minor,type 4,9
61,Ind,track_1,53.0000000000,297.8000000000,0.6244889176,0.5995154137,0.8387861546,0.0768405237,0.0753012048,0.0000783133,0.0604490501,0.6303199751,0.7831705266,7.0000000000,major,type 4,10
62,Fah,track_1,45.0000000000,154.9999999800,0.5125887669,0.2170526337,0.6308053206,0.0812406096,0.8965863454,0.8835340196,0.1161231332,0.1384487936,0.4603603312,9.0000000000,minor,type 3,8
63,RaJe,track_1,46.0000000000,105.0150000000,0.6018936949,0.2991519739,0.7736767238,0.0804893754,0.9457831325,0.9116464976,0.1272985878,0.4397846122,0.4105748911,9.0000000000,major,type 4,8
64,MoRaihammed,track_14,15.0000000000,194.4930000000,0.4663223585,0.3392004325,0.7253125702,0.0082635759,0.9678714859,0.1757019836,0.1821599106,0.5267681475,0.3981541381,4.0000000000,minor,type 4,4
65,Waf,track_1,11.0000000000,312.1870000000,0.2597374650,0.9229067171,0.7146315290,0.0920798455,0.0002259036,0.2911639470,0.1699685055,0.2885989438,0.6154526243,8.0000000000,major,type 4,9
66,EvTiIDiem,track_1,50.0000000000,296.9340000000,0.1854960189,0.9659588102,0.8960844501,0.1028117622,0.0000355422,0.0268062518,0.4960885909,0.2233612923,0.3875609178,9.0000000000,minor,type 4,9
67,Ouk,track_1,67.0000000000,230.6930000000,0.9236066279,0.7336777501,0.9263557186,0.2637905130,0.0297188755,0.0000070382,0.1780961089,0.6106451279,0.3584282141,11.0000000000,minor,type 4,10
68,TeWi,track_1,48.0000000000,149.0719999800,0.6169571767,0.1189339100,0.4962691223,0.0210345568,0.9748995984,0.8744978660,0.1069795794,0.4532463498,0.4579775305,5.0000000000,minor,type 3,8
69,Tua,track_13,34.0000000000,236.6700000000,0.7116419195,0.7016389832,0.8011779092,0.1350075123,0.0086445783,0.0003383538,0.2360052829,0.6137516827,0.5904278259,11.0000000000,minor,type 4,6
70,BuMeAl,track_1,39.0000000000,260.6530000000,0.4275876910,0.9619539643,0.9138279554,0.1457394291,0.0005170683,0.0005813259,0.1181550340,0.1229160195,0.5903361798,2.0000000000,major,type 4,9
71,Dep,track_1,29.0000000000,222.9890000000,0.5104368410,0.9759709248,0.8287789174,0.1425198540,0.0005843373,0.0000043072,0.0465305293,0.1167029098,0.4822260318,4.0000000000,major,type 4,9
72,TiZo,track_1,26.0000000000,498.8270000000,0.8020228104,0.9419297350,0.7822365302,0.0574157545,0.1897590361,0.2550193323,0.0886924718,0.7028062545,0.4383868116,10.0000000000,minor,type 4,6
73,DeThFuHo,track_1,56.0000000000,260.3070000000,0.8504411448,0.7967540724,0.8116343490,0.1210560206,0.0967871486,0.0000074096,0.3294727217,0.6334265300,0.3722883512,10.0000000000,minor,type 4,10
74,LaMaa,track_1,6.0000000000,273.3330000000,0.2683451689,0.2571010923,0.6930698011,0.0242541318,0.9939759036,0.0002339360,0.1222188357,0.1436263850,0.2505337042,8.0000000000,minor,type 1,10
75,ThWiMaFe,track_1,30.0000000000,205.2600000000,0.2608134280,0.9889866739,0.8931646328,0.1382270874,0.0001566265,0.0013142583,0.3162653663,0.0774567671,0.5562384095,5.0000000000,major,type 4,9
76,FrChMaKlBeGl,track_1,39.0000000000,206.8270000200,0.0363675490,0.0188127634,0.1714456839,0.0235028976,0.9759036145,0.8955822245,0.1313623895,0.0278554416,0.2952893863,10.0000000000,major,type 4,8
77,IsVa,track_1,41.0000000000,106.0000000200,0.6901226598,0.0553569819,0.5224226997,0.0888602704,0.9518072289,0.3363447152,0.0937722239,0.3113803459,0.5026146116,3.0000000000,minor,type 4,8
78,MoRaMu,track_1,24.0000000000,367.6270000200,0.2801807618,0.6085263168,0.7588779916,0.0568791586,0.7198795181,0.0013544190,0.5865081784,0.6002899451,0.7587387329,5.0000000000,minor,type 4,4
79,LoFr,track_1,80.0000000000,193.0180000000,0.6772111039,0.6115299512,0.8469466697,0.0166344709,0.2289156627,0.0000067972,0.3579193335,0.4584239412,0.4933745202,6.0000000000,major,type 4,10
80,134,track_1,25.0000000000,384.6800000000,0.1166343878,0.9168994483,0.8252851189,0.0738355870,0.0000000000,0.8182729099,0.2045108199,0.0212281247,0.5150623194,7.0000000000,minor,type 4,9
81,BeBrEnChOr,track_1,25.0000000000,476.0400000000,0.0207660856,0.0689734579,0.5027076938,0.0206052801,0.9056224900,0.8975902586,0.3345524738,0.0333436885,0.2756016302,7.0000000000,minor,type 4,8
82,AmKuKaKr,track_1,35.0000000000,370.8000000000,0.5222724338,0.7967540724,0.8341443937,0.0704013737,0.6897590361,0.0000268073,0.1242507366,0.8726312519,0.3429346185,3.0000000000,minor,type 4,4
83,ChofZe,track_1,41.0000000000,232.7310000000,0.8181622552,0.3862573714,0.7023034114,0.3142305216,0.7319277108,0.0839348232,0.0550645129,0.7307652480,0.3526760685,7.0000000000,major,type 4,6
84,MzBoBa,track_1,36.0000000000,157.3730000000,0.8386055520,0.7486959221,0.7410097078,0.1575445375,0.5240963855,0.0016656643,0.4940566900,0.4729211971,0.3207238970,11.0000000000,minor,type 4,6
85,DoMo,track_1,45.0000000000,127.9320000000,0.6976544007,0.1239399674,0.6045768760,0.0303713243,0.9548192771,0.2419671104,0.0672559179,0.1104898001,0.4136639065,2.0000000000,minor,type 4,8
86,HaNahdag,track_2,31.0000000000,398.4000000000,0.6578437702,0.8728461438,0.8764942228,0.0181369393,0.0015361446,0.0000038454,0.0258051407,0.9357978668,0.4283865959,5.0000000000,minor,type 4,10
87,Rai,track_3,28.0000000000,229.2000000000,0.3963847644,0.0984090750,0.5617528886,0.0160978751,0.9829317269,0.8775099172,0.0958041248,0.1933312623,0.4400849614,8.0000000000,major,type 4,8
88,LaMaKiKu,track_1,11.0000000000,299.3730000000,0.4028405423,0.5104075932,0.8364902298,0.0149173642,0.7449799197,0.0000793173,0.1923194148,0.6354975665,0.3225676025,7.0000000000,major,type 3,4
89,LuVi,track_1,46.0000000000,381.6270000000,0.7159457715,0.4162937154,0.7688353173,0.0662159262,0.8052208835,0.9046183781,0.1059636290,0.7980739360,0.9998220986,8.0000000000,minor,type 4,8
90,JoHen,track_1,45.0000000000,171.2400000000,0.7342371422,0.8458134343,0.8983055077,0.1103241039,0.0757028112,0.0001736950,0.1151071828,0.9233716475,0.6977724587,11.0000000000,minor,type 4,10
91,AsBheha,track_10,16.0000000000,252.6529999800,0.3393587261,0.4523373282,0.7586783459,0.0184588968,0.9578313253,0.0079909719,0.4137966067,0.5360878119,0.4846843059,5.0000000000,minor,type 4,4
92,BoCo,track_1,44.0000000000,203.5600000000,0.4856896923,0.9669600216,0.9540815053,0.0818845246,0.0000243976,0.0007871494,0.2969623082,0.3445169307,0.5972042524,8.0000000000,major,type 4,9
93,MoRa,track_1,11.0000000000,259.8270000000,0.4641704325,0.5624705894,0.7827106885,0.0106245976,0.9608433735,0.0023082352,0.2512445393,0.8539919230,0.3504172597,7.0000000000,minor,type 4,4
94,BrSpsitney,track_40,81.0000000000,198.7999999800,0.7686679578,0.8378037425,0.8993536473,0.0974458038,0.0250000000,0.0250994228,0.2299095804,0.9378689034,0.6063904343,5.0000000000,minor,type 4,10
95,RoCh,track_1,47.0000000000,348.0530000000,0.3554981709,0.7577068253,0.8390856230,0.0085855334,0.0011445783,0.8323291489,0.0834095296,0.0838769804,0.2881248113,3.0000000000,major,type 4,9
96,Sag,track_1,25.0000000000,173.9569999800,0.4394232838,0.1649896375,0.6096927953,0.0280103026,0.9799196787,0.9297188049,0.0937722239,0.2130061096,0.5357420106,4.0000000000,major,type 3,8
97,LaMaMoRa,track_1,25.0000000000,328.6930000200,0.3167635033,0.6145335856,0.7153302887,0.0704013737,0.8132530120,0.4267062517,0.6515290054,0.6013254634,0.6102611377,7.0000000000,major,type 4,4
98,RiStArQu,track_1,26.0000000000,577.1599999800,0.0432537121,0.0522532264,0.3446881785,0.0253273235,0.9578313253,0.8564255587,0.2349893325,0.0214352283,0.2775801095,5.0000000000,major,type 3,8
99,Só,track_1,38.0000000000,532.3520000000,0.2339143533,0.5704802811,0.7985326046,0.0177076626,0.0066666667,0.3604411249,0.3152494158,0.1436263850,0.4812179238,2.0000000000,minor,type 4,9
100,KeMa,track_1,56.0000000000,187.1200000000,0.7460727351,0.6045214710,0.8275311322,0.0643915003,0.0877510040,0.0000223896,0.1557451996,0.3641917780,0.4443977229,8.0000000000,major,type 4,10
101,Wu,track_1,19.0000000000,469.9870000000,0.2005595008,0.6045214710,0.7783184847,0.0178149818,0.0000336345,0.8142568416,0.1618409022,0.1560526043,0.3972861949,7.0000000000,major,type 5,9
102,Nak,track_1,32.0000000000,254.1350000000,0.4803098773,0.7266692698,0.8775423623,0.0114831509,0.0963855422,0.0000039960,0.0886924718,0.2917054986,0.3954155346,1.0000000000,minor,type 4,10
103,Tua,track_12,49.0000000000,313.2530000000,0.6169571767,0.8097698215,0.8268573282,0.0272590685,0.1001004016,0.0000009137,0.1059636290,0.6696696697,0.3420666753,11.0000000000,minor,type 4,10
104,GeBiSeOzOrNaDeFr,track_1,20.0000000000,207.0000000000,0.1327738326,0.0276234243,0.2364053804,0.0236102168,0.9487951807,0.8995982928,0.0717260998,0.0210210210,0.4661016949,10.0000000000,major,type 4,8
105,Cry,track_1,26.0000000000,213.6890000000,0.4415752098,0.9659588102,0.8556312545,0.0768405237,0.0000646586,0.0265050467,0.0646144468,0.3662628145,0.7251800578,6.0000000000,minor,type 3,9
106,SwBe,track_1,26.0000000000,185.2130000000,0.5351839897,0.7637140941,0.7991814529,0.1006653788,0.0087851406,0.1485935227,0.2004470182,0.5236615926,0.5902229698,1.0000000000,minor,type 4,10
107,KaMaAn,track_1,38.0000000000,436.0270000200,0.4448030988,0.4363179447,0.7239150508,0.0129856192,0.6566265060,0.0000704820,0.0535405872,0.5888992441,0.3502285764,5.0000000000,major,type 4,4
108,NiInNa,track_1,60.0000000000,373.3070000000,0.5233483968,0.7236656354,0.7814379476,0.0209272376,0.0002740964,0.6696783832,0.1191709845,0.5878637258,0.3204058309,10.0000000000,minor,type 4,9
109,PaWa,track_1,52.0000000000,189.5870000000,0.4975252851,0.7256680584,0.8943375508,0.0162051942,0.3493975904,0.0000044880,0.1344102408,0.3238065652,0.7078858843,4.0000000000,major,type 4,10
110,dyinde,track_1,51.0000000000,167.4270000000,0.8203141812,0.3472101243,0.6888772429,0.1156900622,0.3343373494,0.0189749186,0.0499847607,0.1301646474,0.5903523526,9.0000000000,major,type 4,10
111,ThHi,track_1,58.0000000000,212.4800000000,0.5319561007,0.4693579231,0.8322228045,0.0339128568,0.7730923695,0.0000016064,0.0917403231,0.3393393393,0.3506328977,8.0000000000,minor,type 4,10
112,EP,track_1,48.0000000000,285.4130000000,0.7019582526,0.8948727961,0.8919168476,0.2476926379,0.1817269076,0.0000170683,0.0937722239,0.7338718028,0.3546222021,10.0000000000,minor,type 4,6
113,JuGeo,track_1,10.0000000000,260.6500000000,0.8353776630,0.8227855705,0.9093608844,0.0376690277,0.0034437751,0.4738950541,0.0516102814,0.9088743916,0.5898294303,11.0000000000,minor,type 4,6
114,Dan,track_1,51.0000000000,260.5570000000,0.5427157306,0.6295517576,0.7219685059,0.0467911569,0.1074297189,0.9006023098,0.0708117444,0.3020606814,0.8283143572,11.0000000000,minor,type 4,10
115,BeBuy,track_1,86.0000000000,147.3510000000,0.6212610286,0.9289139859,0.9073644281,0.0277956643,0.0016767068,0.0000253012,0.3335365234,0.9150875013,0.2717956182,4.0000000000,major,type 4,10
116,RoWae,track_1,75.0000000000,252.0210000000,0.5954379169,0.6095275283,0.7815876819,0.2391071045,0.2118473896,0.0003614461,0.1384740425,0.4294294294,0.6978425411,5.0000000000,minor,type 4,6
117,LuLe,track_1,64.0000000000,216.4020000000,0.5534753604,0.3091640885,0.7338224651,0.0154539601,0.8162650602,0.0000097390,0.0968200752,0.2699596148,0.3692047268,8.0000000000,major,type 4,10
118,Adb,track_1,45.0000000000,184.6099999800,0.5298041747,0.0936032599,0.5788475456,0.0357372827,0.9959839357,0.9437750440,0.1039317281,0.1529460495,0.3688812697,3.0000000000,major,type 4,8
119,LaMarta,track_2,10.0000000000,208.9999999800,0.2479018722,0.3532173930,0.6808664620,0.0143807684,0.9919678715,0.0000983937,0.1902875140,0.4615304960,0.6381269677,11.0000000000,major,type 4,4
120,KiKua,track_1,9.0000000000,195.2400000000,0.8030987734,0.4263058301,0.8048463976,0.1993990127,0.9518072289,0.0009728925,0.0978360256,0.8902350626,0.3938036400,9.0000000000,minor,type 4,4
121,JaAhl,track_1,52.0000000000,197.5990000200,0.2844846137,0.0548563762,0.4924259439,0.0105172784,0.9688755020,0.9628513683,0.0947881743,0.1073832453,0.0000000000,2.0000000000,minor,type 4,8
122,Soe,track_1,48.0000000000,362.0880000000,0.4491069507,0.9729672904,0.8945621522,0.0331616227,0.0018875502,0.0001345383,0.3690947882,0.3983638811,0.4154321387,7.0000000000,minor,type 4,9
123,ReBe,track_1,5.0000000000,285.5040000000,0.3544222079,0.9259103515,0.9047939907,0.0607426486,0.0131526104,0.8584335928,0.3345524738,0.4149321736,0.4706300944,8.0000000000,major,type 4,9
124,6tStJa,track_1,48.0000000000,311.0689999800,0.4512588767,0.1780053865,0.5394175339,0.0089074909,0.9558232932,0.9397589757,0.1953672661,0.1891891892,0.2054761289,2.0000000000,major,type 3,8
125,Flt,track_1,45.0000000000,92.0530000000,0.5954379169,0.4903833639,0.7396121884,0.1274951706,0.8744979920,0.1757019836,0.1018998273,0.2140416278,0.2736986242,3.0000000000,major,type 4,10
126,SuWaNiMu,track_1,15.0000000000,280.1190000000,0.4878416182,0.6836171768,0.7397619226,0.0180296201,0.9728915663,0.0055311301,0.3497917302,0.9047323185,0.5500064691,2.0000000000,major,type 4,4
127,RaPlkv,track_1,47.0000000000,213.7200000000,0.4846137293,0.3952682746,0.6490229842,0.0168491093,0.1847389558,0.5120477029,0.6748958651,0.1850471161,0.4363921594,6.0000000000,minor,type 3,9
128,EdBeZannen,track_8,46.0000000000,147.3750000000,0.5104368410,0.7206620010,0.7916448304,0.5353080060,0.4016064257,0.0000228916,0.0539469674,0.7701149425,0.2386951740,9.0000000000,major,type 3,6
129,BiSe,track_1,65.0000000000,220.2930000000,0.7826554767,0.7296729042,0.8276309551,0.3507190384,0.0277108434,0.0015753028,0.0681702733,0.7462980222,0.6968775607,11.0000000000,minor,type 4,6
130,AsBhViRa,track_1,17.0000000000,272.2800000000,0.3673337637,0.7266692698,0.7985575603,0.0169564284,0.9036144578,0.0116455940,0.0841206949,0.6675986331,0.3820136283,7.0000000000,minor,type 4,4
131,LoTr,track_1,53.0000000000,265.1730000000,0.4383473209,0.1559787343,0.5081480372,0.0130929384,0.9427710843,0.9327308562,0.1344102408,0.1394843119,0.3256835727,10.0000000000,major,type 3,8
