id,Class
425,10
426,10
427,10
428,10
429,8
430,10
431,10
432,10
433,8
434,8
435,10
436,8
437,8
438,8
439,10
440,9
441,9
442,10
443,10
444,10
445,10
446,10
447,10
448,8
449,6
450,10
451,9
452,6
453,10
454,10
455,10
456,9
457,8
458,10
459,9
460,6
461,10
462,10
463,10
464,10
465,8
466,10
467,10
468,10
469,8
470,9
471,10
472,10
473,10
474,9
475,8
476,8
477,10
478,8
479,6
480,10
481,10
482,10
483,10
484,10
485,10
486,6
487,10
488,9
489,8
490,6
491,10
492,6
493,10
494,9
495,8
496,8
497,10
498,9
499,4
500,10
501,4
502,8
503,10
504,6
505,4
506,6
507,10
508,4
509,9
510,6
511,9
512,10
513,10
514,10
515,10
516,6
517,8
518,6
519,10
520,9
521,10
522,10
523,4
524,4
525,10
526,8
527,10
528,8
529,8
530,9
531,6
532,9
533,10
534,10
535,4
536,8
537,10
538,8
539,10
540,9
541,9
542,8
543,10
544,6
545,10
546,10
547,10
548,4
549,9
550,9
551,4
552,10
553,10
554,9
555,10
556,4
557,9
558,8
559,8
560,4
561,4
562,10
563,8
564,10
565,8
566,9
567,10
568,9
569,10
570,6
571,8
572,9
573,10
574,6
575,8
576,9
577,8
578,10
579,6
580,10
581,4
582,8
583,6
584,8
585,9
586,8
587,4
588,9
589,8
590,10
591,10
592,10
593,4
594,10
595,10
596,10
597,10
598,6
599,9
600,8
601,8
602,9
603,4
604,10
605,9
606,10
607,9
608,6
609,6
610,9
611,4
612,8
613,10
614,10
615,10
616,6
617,9
618,6
619,8
620,9
621,6
622,9
623,10
624,10
625,10
626,10
627,10
628,9
629,9
630,10
631,10
632,8
633,10
634,10
635,6
636,4
637,4
638,4
639,10
640,6
641,8
642,10
643,6
644,4
645,10
646,10
647,10
648,9
649,10
650,6
651,4
652,10
653,10
654,10
655,10
656,6
657,4
658,6
659,9
660,6
661,9
662,10
663,4
664,10
665,8
666,10
667,8
668,10
669,10
670,8
671,4
672,10
673,4
674,9
675,10
676,10
677,10
678,8
679,8
680,8
681,9
682,6
683,8
684,4
685,8
686,6
687,10
688,9
689,10
690,10
691,9
692,4
693,10
694,10
695,6
696,9
697,9
698,10
699,6
700,10
701,10
702,4
703,10
704,10
705,8
706,8
707,10
708,10
709,10
710,9
711,10
712,4
713,10
714,10
715,10
716,9
717,9
718,6
719,10
720,10
721,6
722,4
723,10
724,6
725,9
726,8
727,9
728,9
729,4
730,10
731,10
732,6
733,10
734,4
735,10
736,4
737,8
738,10
739,4
740,10
741,8
742,8
743,10
744,9
745,10
746,10
747,9
748,8
749,9
