id,Artist Name,Track Name,Popularity,duration,Class
319,MoRai,track_1,12.0,220.81300002,4
320,Gor,track_1,70.0,209.56,10
321,Wil,track_1,12.0,205.714,6
322,Na,track_1,26.0,184.288,10
323,PeBeTr,track_1,52.0,258.25300002,8
324,Met,track_1,63.0,476.267,9
325,McRe,track_1,72.0,120.0,10
326,LaMan,track_1,51.0,256.44,4
327,Wh,track_1,3.0,397.768,9
328,Tri,track_1,60.0,302.467,9
329,BeRe,track_1,80.0,160.871,10
330,EdSh,track_1,86.0,233.713,10
331,MOSU,track_1,58.0,171.033,10
332,JaTW,track_1,46.0,200.547,10
333,TaIm,track_1,84.0,216.32,10
334,Mea,track_1,59.0,477.027,9
335,IdYa,track_1,39.0,186.269,10
336,PaPaII,track_1,,129.856,6
337,MeThSt,track_1,66.0,170.641,6
338,PrMa,track_1,47.0,337.88,9
339,LeTzHa,track_1,24.0,343.8,10
340,DuFa,track_1,22.0,136.615,6
341,LaPe,track_1,46.0,217.674,8
342,Zu,track_1,66.0,205.0,10
343,LaStTr,track_1,56.0,282.12400002000004,8
344,ThAySiRoPhOrMaMe,track_1,,198.62699999999998,8
345,Saw,track_1,63.0,206.0,10
346,Of,track_1,43.0,419.067,9
347,Trv,track_1,50.0,223.2,9
348,ArGr,track_1,68.0,227.387,10
349,PoHu,track_1,70.0,176.383,6
350,WhDoWe,track_1,74.0,216.504,10
351,BrMeThHo,track_1,77.0,228.147,9
352,KaWe,track_1,69.0,191.353,6
353,AyKo,track_1,30.0,188.292,10
354,DeLe,track_1,53.0,266.729,9
355,KiKu,track_1,10.0,223.896,4
356,DoCat,track_1,86.0,210.55999998,10
357,LiNaX,track_1,42.0,168.276,10
358,Th,track_1,45.0,247.08,6
359,LaMag,track_1,25.0,328.39999998,4
360,FrBa,track_1,57.0,148.5,6
361,HeTa,track_1,43.0,133.72699998,8
362,ElLu,track_1,22.0,305.973,10
363,Ev,track_1,48.0,258.733,6
364,MaMax,track_1,21.0,213.917,10
365,BrSpr,track_1,,226.63999998,10
366,DuAhr,track_1,18.0,211.321,10
367,KiKuAmBa,track_1,31.0,332.14699998000003,4
368,DPIA,track_1,62.0,185.107,6
369,ElGo,track_1,78.0,252.534,10
370,PE,track_1,46.0,180.29,6
371,JU,track_1,68.0,265.6,6
372,YU,track_1,32.0,207.125,10
373,LE,track_1,57.0,211.467,10
374,KiKum,track_1,42.0,313.413,4
375,HaNaa,track_1,22.0,277.933,6
376,DeofHa,track_1,25.0,287.364,9
377,AsBhMaKa,track_1,2.0,337.99999998000004,4
378,LeTi,track_1,74.0,184.627,10
379,FrHeTr,track_1,,457.26799998,8
380,TrthPhPh,track_1,43.0,180.0,6
381,Po,track_1,43.0,242.807,9
382,EmLa,track_1,45.0,202.484,10
383,BaBo,track_1,35.0,289.93300002,10
384,Ka,track_1,31.0,246.72,9
385,SuCy,track_1,33.0,234.77,9
386,El,track_1,15.0,199.4,10
387,PrFe,track_1,46.0,365.987,9
388,BrSps,track_1,73.0,247.96,10
389,MaLi,track_1,59.0,122.999,10
390,TeThCr,track_1,40.0,202.36,9
391,JoHa,track_1,47.0,169.13200002,8
392,FuHoBrCr,track_1,28.0,216.707,9
393,bl,track_1,50.0,237.693,9
394,Man,track_1,49.0,172.82299998000002,8
395,Ca,track_1,29.0,201.333,9
396,YoStLif,track_1,69.0,216.053,6
397,MiWe,track_1,80.0,207.06799980000002,10
398,SuWaBe,track_1,34.0,160.24000002,4
399,LiPo,track_1,51.0,123.123,6
400,IL,track_1,74.0,125.879,10
401,Sep,track_1,56.0,199.227,9
402,ThDeWePr,track_1,55.0,268.2,9
403,Di,track_1,38.0,198.3,10
404,SaFl,track_1,35.0,327.489,10
405,SE,track_1,62.0,132.0,10
406,Sc,track_1,42.0,230.84,9
407,BrSpG-,track_1,,230.95999998000002,10
408,KiKuAlCh,track_1,39.0,397.69300002,4
409,ErthAr,track_1,56.0,197.5,6
410,Pel,track_1,22.0,285.179,6
411,DuAho,track_1,19.0,274.88,10
412,CrOfFi,track_1,39.0,438.733,9
413,D√,track_1,25.0,478.302,9
414,EdBeZae,track_1,36.0,177.337,10
415,Ha6,track_1,43.0,231.526,10
416,Ele,track_1,44.0,281.373,9
417,ToAnI,track_1,73.0,185.304,10
418,LA,track_1,29.0,149.348,10
419,BrSpsit,track_1,,199.98700002,10
420,Mo,track_1,58.0,193.2,6
421,TOO,track_1,62.0,620.101,9
422,Tes,track_1,77.0,189.375,10
423,OmAdmer,track_3,37.0,227.84,10
424,Que,track_1,63.0,347.76,9
425,YoStLie,track_1,82.0,152.333,6
426,ErB.&Rak,track_1,50.0,228.267,6
427,PrRa,track_1,9.0,198.0,6
428,LaHug,track_1,8.0,57.443,6
429,FrSoToSe,track_1,30.0,196.32,9
430,MCLy,track_1,44.0,270.093,6
431,Kal,track_1,64.0,198.951,6
432,Bi,track_1,26.0,195.387,4
433,Jm,track_1,42.0,224.213,6
434,AlCa,track_1,71.0,181.88200020000002,10
435,No,track_1,60.0,238.373,9
436,PrArSiAnMiNiD',track_1,55.0,280.49599998,4
437,IcVe,track_1,58.0,165.121,6
438,MoDe,track_1,69.0,223.547,6
439,So,track_1,31.0,140.965,6
440,HyThHe,track_1,51.0,173.733,9
441,AlGlJuLlWeRoPhOrJaJu,track_1,,397.51999998,8
442,WH,track_1,77.0,153.92200002,10
443,JaSm,track_1,44.0,208.954,10
444,Sti,track_1,46.0,327.293,6
445,MrEa,track_1,55.0,168.896,10
446,Pr,track_1,47.0,223.729,9
447,GlHe,track_1,10.0,244.5,9
448,LeNo,track_1,39.0,208.882,10
449,Jam,track_1,14.0,229.7,6
450,Ab,track_1,39.0,409.84,9
451,WhHo,track_1,36.0,410.28000000000003,10
452,AlGa,track_1,55.0,184.71,10
453,OmAdmer,track_4,27.0,295.093,10
454,ChCu,track_1,69.0,176.3719998,10
455,CL,track_1,45.0,234.551,10
456,DadeMo,track_1,41.0,357.987,8
457,RE,track_1,20.0,181.127,10
458,JuPr,track_1,54.0,209.453,9
459,Day,track_1,39.0,203.869,10
460,MoFe,track_1,45.0,143.4,9
461,SM,track_1,36.0,277.951,10
462,ThHe,track_1,60.0,322.267,10
463,Ne,track_1,16.0,214.544,9
464,YBAlJa,track_1,51.0,150.976,6
465,FiFr,track_1,46.0,204.065,10
466,OsAnThJu,track_1,46.0,395.337,9
467,DiBo,track_1,45.0,309.213,9
468,BrFa,track_1,79.0,214.693,6
469,Atm,track_1,53.0,238.8,6
470,TiWa,track_1,90.0,278.085,6
471,MaMai,track_1,36.0,250.018,10
472,Av,track_1,27.0,271.333,9
473,Run,track_1,44.0,194.952,10
474,Bl,track_1,40.0,212.211,6
475,Ho,track_1,66.0,175.227,9
476,Op,track_1,44.0,361.467,9
477,TOL,track_1,66.0,312.12,9
478,BaBoy,track_1,31.0,246.867,10
479,HeShBu,track_1,38.0,298.429,9
480,AmBa,track_1,37.0,366.267,4
481,ChPe,track_1,68.0,285.12,10
482,StYoLa,track_1,51.0,293.347,9
483,JuMi,track_1,70.0,150.394,10
484,ThGa,track_1,43.0,364.693,9
485,IdAme,track_1,39.0,209.817,10
486,SadeWa,track_1,41.0,191.0,10
487,JuGe,track_1,8.0,182.179,6
488,SpDo,track_1,71.0,256.733,10
489,Ha,track_1,24.0,292.147,9
490,AsBh,track_1,27.0,361.18699998,4
491,BuFu,track_1,23.0,285.677,9
492,NiPa,track_1,,325.39999998,8
493,DI,track_1,43.0,214.321,9
494,ToKiAc,track_1,36.0,174.004,9
495,◊ú◊ê◊§◊í,track_1,9.0,157.889,6
496,HaElKh,track_1,41.0,141.093,10
497,PrKa,track_1,1.0,32.03500002,4
498,HeSe,track_1,18.0,277.383,9
499,ChGoYoMa,track_1,59.0,163.26700002,8
500,JoDi&thRoofLo,track_1,29.0,240.84,9
501,BaRa,track_1,51.0,143.48,6
502,AlPo,track_1,45.0,196.211,10
503,DeTo,track_1,41.0,365.861,9
504,Pee,track_1,26.0,174.523,6
505,MaMam,track_1,26.0,235.0,10
506,AaAy,track_1,26.0,170.164,10
507,re,track_1,3.0,163.852,10
508,TeGr,track_1,68.0,175.031,6
509,DM,track_1,78.0,217.587,6
510,Pl,track_1,35.0,389.547,9
511,ArSiPaTa,track_1,54.0,254.51599998000003,4
512,Bil,track_1,36.0,292.037,9
513,CiDu,track_1,54.0,255.255,10
514,Vol,track_1,42.0,164.571,9
515,FrBan,track_1,70.0,158.427,6
516,Meg,track_1,72.0,246.733,9
517,BoTiTr,track_1,39.0,407.307,8
518,AmMa,track_1,72.0,184.413,10
519,MaWo,track_1,16.0,132.78,10
520,Ky,track_1,34.0,363.307,9
521,OmAdmer,track_5,37.0,205.773,10
522,ThViCa,track_1,32.0,224.956,9
523,Seu,track_1,49.0,254.387,9
524,FrSoToSer,track_1,27.0,224.383,9
525,Sv,track_1,38.0,310.547,9
526,LiZaOs,track_1,56.0,121.853,6
527,PhWi,track_1,66.0,236.507,6
528,ArFr,track_1,34.0,251.827,6
529,SAJH,track_1,47.0,176.219,10
530,Hea,track_1,40.0,351.613,9
531,KIS,track_1,49.0,330.36,9
532,BeBo,track_1,69.0,231.493,6
533,R.Ja,track_1,47.0,211.5,8
534,AlTiLo,track_1,68.0,189.543,10
535,DaBa,track_1,58.0,254.707,6
536,Tru,track_1,51.0,449.947,9
537,ArSi,track_1,,311.18599998,4
538,FiFiDePun,track_1,61.0,246.209,9
539,CaBo,track_1,37.0,257.916,9
540,AsBhKiKu,track_1,,154.81600002,4
541,RaAle,track_1,75.0,289.899,10
542,YSFlo,track_1,52.0,155.024,6
543,KjBr,track_1,33.0,193.833,9
544,Moo,track_1,81.0,199.706,6
545,BaSo,track_1,40.0,167.04,8
546,AlKe,track_1,79.0,253.813,10
547,ArFra,track_1,42.0,401.267,6
548,Sel,track_1,53.0,198.227,9
549,TiSa,track_1,55.0,156.454,10
550,ThKiLA,track_1,91.0,161.385,10
551,PhEl,track_1,42.0,230.92,9
552,CHHA,track_1,58.0,163.799,10
553,FeTr,track_1,51.0,189.81199998,8
554,NiSt,track_1,34.0,244.754,9
555,Pro,track_1,31.0,181.507,9
556,J.Co,track_1,81.0,112.579,6
557,HeCo,track_1,47.0,198.582,10
558,KiX,track_1,44.0,241.573,9
559,LaofGo,track_1,63.0,220.88,9
560,DuAhn,track_1,19.0,242.934,10
561,P!n,track_1,69.0,192.533,10
562,LuSo,track_1,37.0,243.18,9
563,ZaZo,track_1,44.0,200.422,6
564,Shi,track_1,17.0,162.0,6
565,JoBa,track_1,59.0,157.133,10
566,Cal,track_1,44.0,260.947,9
567,FeFa,track_1,54.0,237.36,9
568,OmAdmer,track_6,39.0,193.965,10
569,Ar,track_1,56.0,315.533,6
570,Na√,track_1,46.0,158.486,10
571,GyClHe,track_1,85.0,243.773,10
572,Dix,track_1,73.0,190.347,10
573,ViCo,track_1,35.0,214.25,9
574,BrSpsitn,track_1,47.0,219.22699998,10
575,Bla,track_1,46.0,263.799,9
576,SaHadr,track_1,29.0,169.872,10
577,BrAd,track_1,35.0,293.89399998,10
578,ItLei,track_1,34.0,277.731,10
579,Wel,track_1,,218.17300002,10
580,HaNas,track_1,24.0,260.267,6
581,AsBhKiKum,track_1,18.0,270.16000002,4
582,AcPa,track_1,39.0,185.053,6
583,34,track_1,3.0,180.12199998,10
584,jx,track_1,67.0,141.207,10
585,LaMaS.D.Bu,track_1,38.0,509.46599999999995,4
586,Jo,track_1,,173.227,10
587,LAS,track_1,25.0,274.588,9
588,Or,track_1,33.0,171.707,10
589,OmAdmer,track_7,38.0,205.143,10
590,BrAg,track_1,36.0,309.696,9
591,Cr89,track_1,32.0,137.806,6
592,ChPa,track_1,50.0,182.278,6
593,TrMo,track_1,48.0,108.773,9
594,IdAmd,track_1,30.0,249.52,10
595,BuMa,track_1,60.0,229.866,6
596,ToSa,track_1,39.0,179.479,10
597,InMo,track_1,78.0,224.042,6
598,SoOfAp,track_1,37.0,433.0,9
599,ThBlRoBa,track_1,52.0,293.96999999999997,8
600,Mar,track_1,,154.983,10
601,OzOsb,track_1,62.0,256.293,9
602,b√,track_1,61.0,153.545,10
603,Ped,track_1,31.0,188.295,6
604,BiMa,track_1,55.0,199.48,10
605,PeBi,track_1,67.0,391.257,10
606,AuBuRe,track_1,48.0,277.693,9
607,Mel,track_1,52.0,318.96,9
608,PhCaanthBaSo,track_1,41.0,298.703,9
609,EvTe,track_1,31.0,202.48,9
610,Ou,track_1,82.0,270.507,6
611,CothMa,track_1,47.0,187.386,6
612,JaAr,track_1,55.0,211.467,10
613,KiPr,track_1,55.0,204.633,10
614,BiEil,track_1,87.0,194.088,10
615,CrOfFil,track_1,46.0,396.829,9
616,DMX,track_1,1.0,272.92,6
617,Cak,track_1,66.0,204.133,10
618,LiBa,track_1,80.0,192.804,6
619,Dru,track_1,38.0,269.938,9
620,AmLe,track_1,32.0,160.653,10
621,CoHaQu,track_1,55.0,279.01300002,8
622,LaMaBhSi,track_1,20.0,475.66099998,4
623,AcKi,track_1,43.0,384.867,9
624,Ap,track_1,24.0,159.373,9
625,SK√,track_1,43.0,196.747,9
626,AhOz,track_1,37.0,302.16,10
627,jxd,track_1,75.0,160.12,6
628,RoSc,track_1,77.0,199.358,10
629,Lor,track_1,76.0,190.185,10
630,IcFoHi,track_1,45.0,204.004,9
631,BoDoPr,track_1,45.0,340.133,6
632,Ped,track_2,27.0,184.827,6
633,M√Cr√,track_1,65.0,194.587,9
634,MaSaHi,track_1,32.0,164.571,6
635,ChCut,track_1,46.0,193.8,10
636,TrAm,track_1,38.0,293.159,6
637,Le,track_1,60.0,120.2,10
638,FrScvistqu,track_1,25.0,136.212,8
639,EyGonal,track_2,54.0,190.5,10
640,MiRo,track_1,34.0,378.84,9
641,Goj,track_1,26.0,240.293,9
642,iadi,track_1,75.0,144.0,6
643,StGa,track_1,60.0,177.197,6
644,KiPro,track_1,56.0,178.663,10
645,KaWes,track_1,55.0,182.387,6
646,EdBeZan,track_1,28.0,211.954,10
647,BTS,track_1,95.0,187.5850002,10
648,KiKurs,track_1,8.0,252.861,4
649,Gu,track_1,79.0,197.76,6
650,TiSu,track_1,40.0,140.488,6
651,The,track_1,57.0,164.736,6
